Id,language,Quote,Quote_url,Author,Author_Profile,Tags
835720,en,"At present I absolutely want to paint a starry sky. It often seems to me that night is still more richly coloured than the day; having hues of the most intense violets, blues and greens. If only you pay attention to it you will see that certain stars are lemon-yellow, others pink or a green, blue and forget-me-not brilliance. And without my expatiating on this theme it is obvious that putting little white dots on the blue-black is not enough to paint a starry sky.",https://quotepark.com/quotes/835720-vincent-van-gogh-at-present-i-absolutely-want-to-paint-a-starry-sky/,Vincent Van Gogh,https://quotepark.com/authors/vincent-van-gogh/,"Star, Painting, Night, Forgetting, attention, black, blackness, blue, day, dot, green, greens, intensity, lemon, most, other, paint, pay, pink, present, presentation, put, sky, still, theme, violet, want, white, yellow"
1256428,en,"My philosophy is if you worry, you suffer twice.",https://quotepark.com/quotes/1256428-newt-scamander-my-philosophy-is-if-you-worry-you-suffer-twice/,Newt Scamander,https://quotepark.com/authors/newt-scamander/,"Suffering, philosophy, worry"
2113045,en,"We don't need to worry
'Cause when we fall, we know how to land",https://quotepark.com/quotes/2113045-bts-we-dont-need-to-worry-cause-when-we-fall-we-kn/,bts,https://quotepark.com/authors/bts/,
1544509,en,"One chance, bang!",https://quotepark.com/quotes/1544509-cristiano-ronaldo-one-chance-bang/,Cristiano Ronaldo,https://quotepark.com/authors/cristiano-ronaldo/,"bang, chance, Chance"
1030335,en,We learn from history that we do not learn from history.,https://quotepark.com/quotes/1030335-georg-wilhelm-friedrich-hegel-we-learn-from-history-that-we-do-not-learn-from-hi/,Georg Wilhelm Friedrich Hegel,https://quotepark.com/authors/georg-wilhelm-friedrich-hegel/,"History, Learning, doing"
712304,en,What is to give light must endure burning.,https://quotepark.com/quotes/712304-viktor-e-frankl-what-is-to-give-light-must-endure-burning/,Viktor E. Frankl,https://quotepark.com/authors/viktor-e-frankl/,"Light, burn, burning, lighting, Courageous, Faith"
2069181,en,Bing? Who the fuck uses Bing?,https://quotepark.com/quotes/2069181-billie-eilish-bing-who-the-fuck-uses-bing/,Billie Eilish,https://quotepark.com/authors/billie-eilish/,"fuck, use"
1823842,en,"If you are emotionally attached to your tribe, religion or political leaning to the point that truth and justice become secondary considerations, your education and exposure is useless. If you cannot reason beyond petty sentiments, you are a liability.",https://quotepark.com/quotes/1823842-chuba-okadigbo-if-you-are-emotionally-attached-to-your-tribe-rel/,Chuba Okadigbo,https://quotepark.com/authors/chuba-okadigbo/,"Truth, Education, Religion, Justice, attachment, beyond, consideration, exposure, liability, point, politics, reason, sentiment, tribe"
2103266,en,"People see me and think I have lots of girlfriends, do I look like I have lots of girlfriends?",https://quotepark.com/quotes/2103266-cornelius-keagon-people-see-me-and-think-i-have-lots-of-girlfriends/,Cornelius Keagon,https://quotepark.com/authors/cornelius-keagon/,"People, Thinking, doing, girlfriend, likeness, look, lot"
1410426,en,"You are the knife I turn inside myself; that is love. That, my dear, is love.",https://quotepark.com/quotes/1410426-franz-kafka-you-are-the-knife-i-turn-inside-myself-that-is-lo/,Franz Kafka,https://quotepark.com/authors/franz-kafka/,"Love, inside, knife, turn, turning"
837521,en,"Speed has never killed anyone. Suddenly becoming stationary, that's what gets you.",https://quotepark.com/quotes/837521-jeremy-clarkson-speed-has-never-killed-anyone-suddenly-becoming-s/,Jeremy Clarkson,https://quotepark.com/authors/jeremy-clarkson/,"Speed, anyone, kill, killing"
1020360,en,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",https://quotepark.com/quotes/1020360-john-lennon-you-may-say-im-a-dreamer-but-im-not-the-only-on/,John Lennon,https://quotepark.com/authors/john-lennon/,"World, Hope, dreamer, living, use, Inspirational, Hope, Peaceful"
1836964,en,"It all began with the three wise men, followed a star took them to Bethelehem, and made it heard throughout the land — born was the leader of man. All going down to see the Lord Jesus.",https://quotepark.com/quotes/1836964-freddie-mercury-it-all-began-with-the-three-wise-men-followed-a-s/,Freddie Mercury,https://quotepark.com/authors/freddie-mercury/,"Men, Star, down, follower, following, going, land, landing, leader, lord, man"
1285513,en,"One love, one heart,
Let's get together and feel alright.",https://quotepark.com/quotes/1285513-bob-marley-one-love-one-heart-lets-get-together-and-feel/,Bob Marley,https://quotepark.com/authors/bob-marley/,"Love, Feeling, Heart, feel"
1956437,en,"I don't feel much pain Got a knife in my back, and a bullet in my brain I’m clinically insane Walkin' home alone, I see faces in the rain",https://quotepark.com/quotes/1956437-lil-peep-i-dont-feel-much-pain-got-a-knife-in-my-back-and/,Lil Peep,https://quotepark.com/authors/lil-peep/,"Pain, Feeling, Home, back, brain, bullet, clinic, face, feel, knife, rain"
843158,en,The only time I feel alive is when I'm painting.,https://quotepark.com/quotes/843158-vincent-van-gogh-the-only-time-i-feel-alive-is-when-im-painting/,Vincent Van Gogh,https://quotepark.com/authors/vincent-van-gogh/,"Feeling, Time, Painting, feel, paint, timing"
